event,place,bib,name,gender,group,course,lap1,lap2,lap3,lap4,lap5,lap6
2026-06-07,1,21,ПЛОТНИКОВА Наталья,Ж,Ж 3.6 км,Лыжероллерный круг 1.2 км,3:07,6:17,9:24,,,
2026-06-07,2,14,ВЛАДИСЛАВЛЕВА Татьяна,Ж,Ж 3.6 км,Лыжероллерный круг 1.2 км,3:30,7:03,11:02,,,
2026-06-07,3,5,НОСЫРЕВА Елена,Ж,Ж 3.6 км,Лыжероллерный круг 1.2 км,3:43,7:28,11:13,,,
2026-06-07,4,22,КОЗЛОВА Марина,Ж,Ж 3.6 км,Лыжероллерный круг 1.2 км,3:54,7:52,11:57,,,
2026-06-07,5,4,КОРОЛЁВА Анна,Ж,Ж 3.6 км,Лыжероллерный круг 1.2 км,3:44,7:42,12:11,,,
2026-06-07,6,16,ЕВТИШЕНКОВА Валерия (вк),Ж,Ж 3.6 км,Лыжероллерный круг 1.2 км,3:55,7:57,12:13,,,
2026-06-07,7,9,РОСТЕГАЕВА Татьяна,Ж,Ж 3.6 км,Лыжероллерный круг 1.2 км,4:32,8:57,13:17,,,
2026-06-07,8,2,КОРОЧКИНА Ольга,Ж,Ж 3.6 км,Лыжероллерный круг 1.2 км,4:30,9:16,14:03,,,
2026-06-07,9,18,АЛИМОВА Снежана,Ж,Ж 3.6 км,Лыжероллерный круг 1.2 км,5:40,9:55,14:08,,,
2026-06-07,10,17,ГАМОВА Наталья,Ж,Ж 3.6 км,Лыжероллерный круг 1.2 км,5:24,10:26,15:16,,,
2026-06-07,11,20,АФОНЬШИНА Мария,Ж,Ж 3.6 км,Лыжероллерный круг 1.2 км,5:16,10:30,15:47,,,
2026-06-07,12,8,ПИВОВАРОВА Наталия,Ж,Ж 3.6 км,Лыжероллерный круг 1.2 км,5:19,10:52,16:27,,,
2026-06-07,13,19,РОМАНОВА Полина,Ж,Ж 3.6 км,Лыжероллерный круг 1.2 км,6:07,12:15,18:56,,,
2026-06-07,14,3,КЛИМЧУК Екатерина,Ж,Ж 3.6 км,Лыжероллерный круг 1.2 км,6:05,12:35,20:32,,,
2026-06-07,1,47,КОРОЛЁВ Н.,М,М 7.2 км,Лыжероллерный круг 1.2 км,2:54,5:47,8:43,11:35,14:31,17:27
2026-06-07,2,52,СМИРНОВ Н.,М,М 7.2 км,Лыжероллерный круг 1.2 км,2:58,5:51,8:47,11:45,14:41,17:37
2026-06-07,3,45,КОНЧЕНКОВ М.,М,М 7.2 км,Лыжероллерный круг 1.2 км,2:57,5:58,9:02,12:15,15:30,18:42
2026-06-07,4,39,ПЛОТНИКОВ А.,М,М 7.2 км,Лыжероллерный круг 1.2 км,3:13,6:16,9:27,12:31,15:42,18:56
2026-06-07,5,27,ДМИТРИЕВ Д.,М,М 7.2 км,Лыжероллерный круг 1.2 км,2:59,6:07,9:19,12:39,15:53,19:02
2026-06-07,6,44,ПРОНИЧЕВ Д.,М,М 7.2 км,Лыжероллерный круг 1.2 км,3:07,6:24,9:52,13:17,16:45,20:11
2026-06-07,7,32,ФОМЕНКОВ О.,М,М 7.2 км,Лыжероллерный круг 1.2 км,3:10,6:31,9:55,13:21,16:47,20:24
2026-06-07,8,37,КОЛЕСНИКОВ Д.,М,М 7.2 км,Лыжероллерный круг 1.2 км,3:25,6:48,10:20,13:50,17:16,20:46
2026-06-07,9,41,ЕЛИЗАРОВ В.,М,М 7.2 км,Лыжероллерный круг 1.2 км,3:27,6:54,10:23,13:48,17:20,20:54
2026-06-07,10,26,ЧУПРОВ А.,М,М 7.2 км,Лыжероллерный круг 1.2 км,3:18,6:48,10:26,14:05,17:33,20:59
2026-06-07,11,42,НИКОНОВ И.,М,М 7.2 км,Лыжероллерный круг 1.2 км,3:23,6:50,10:20,13:51,17:23,21:01
2026-06-07,12,33,ВАСЕЛЬКОВ М.,М,М 7.2 км,Лыжероллерный круг 1.2 км,3:18,6:54,10:31,14:24,18:02,21:34
2026-06-07,13,51,ПОЛУНИН А.,М,М 7.2 км,Лыжероллерный круг 1.2 км,3:34,7:14,10:45,14:21,17:59,21:39
2026-06-07,14,40,ГАЛАКТИОНОВ Д.,М,М 7.2 км,Лыжероллерный круг 1.2 км,3:29,7:08,10:42,14:20,18:02,21:45
2026-06-07,15,31,УЛЬЯНОВ В.,М,М 7.2 км,Лыжероллерный круг 1.2 км,3:27,7:01,10:42,14:25,18:07,21:52
2026-06-07,16,28,БЕЛОНОГОВ К.,М,М 7.2 км,Лыжероллерный круг 1.2 км,3:48,7:38,11:23,15:14,19:06,22:56
2026-06-07,17,46,ЗАХАРОВ Н.,М,М 7.2 км,Лыжероллерный круг 1.2 км,3:37,7:33,11:31,15:33,19:43,23:38
2026-06-07,18,43,СТАФЕЕВ И.,М,М 7.2 км,Лыжероллерный круг 1.2 км,4:11,8:34,12:34,16:41,20:34,25:03
2026-06-07,19,23,КОДИНЦЕВ А. (вк),М,М 7.2 км,Лыжероллерный круг 1.2 км,4:12,8:35,12:47,17:09,21:28,25:53
2026-06-07,20,49,ВОТОЛЕВСКИЙ А.,М,М 7.2 км,Лыжероллерный круг 1.2 км,4:52,9:45,14:44,20:00,25:25,30:58
2026-06-07,21,30,МИТРОФАНОВ А.,М,М 7.2 км,Лыжероллерный круг 1.2 км,4:47,10:01,15:28,21:22,27:20,33:06
